,daima,fee,jingzhi,names,rateD,rateW,urls
88,003261,0.12%,1.2009,安信沪深300增强发起式A,-0.63%,-1.10%,http://fund.eastmoney.com/003261.html
89,001230,0.15%,0.6360,鹏华医药科技,-1.55%,1.11%,http://fund.eastmoney.com/001230.html
90,163808,0.15%,1.3200,中银中证100,-0.68%,-0.83%,http://fund.eastmoney.com/163808.html
91,502020,0.10%,0.9530,国金上证50分级,-0.63%,-0.83%,http://fund.eastmoney.com/502020.html
92,004292,0.15%,1.2279,鹏华沪深港互联网股票,-0.70%,-1.44%,http://fund.eastmoney.com/004292.html
93,002387,0.15%,1.2250,工银沪港深股票,-0.73%,0.49%,http://fund.eastmoney.com/002387.html
94,530018,0.15%,1.7559,建信深证100增强,-0.70%,-0.32%,http://fund.eastmoney.com/530018.html
95,003262,0.00%,1.1945,安信沪深300增强发起式C,-0.62%,-1.10%,http://fund.eastmoney.com/003262.html
96,240014,0.12%,1.3065,华宝中证100指数,-0.70%,-0.87%,http://fund.eastmoney.com/240014.html
97,002588,0.12%,1.3834,博时银智大数据100A,-0.77%,-1.19%,http://fund.eastmoney.com/002588.html
98,163407,0.12%,1.7740,兴全沪深300指数(LOF),-0.62%,-0.79%,http://fund.eastmoney.com/163407.html
99,001616,0.15%,1.4470,嘉实环保低碳股票,-1.30%,-1.43%,http://fund.eastmoney.com/001616.html
