,0,1,2,3,4,5,6
134,4.环太平洋,科幻,69465,40,38,美国,2013-07-31
135,5.狄仁杰之神都龙王,动作,60078,40,30,中国,2013-09-28
136,6.私人订制,喜剧,58872,36,35,中国/中国香港,2013-12-19
137,7.中国合伙人,爱情,53879,32,27,中国/中国香港,2013-05-17
138,8.北京遇上西雅图,爱情,51975,32,31,中国/中国香港,2013-03-21
139,9.小时代,爱情,48436,32,32,中国,2013-06-27
140,10.地心引力,科幻,43553,41,23,美国,2013-11-19
141,11.速度与激情6,动作,41330,33,33,美国,2013-07-26
142,12.疯狂原始人,动画,39472,37,28,美国,2013-04-20
143,13.超人：钢铁之躯,动作,39448,41,28,美国,2013-06-20
144,14.007：大破天幕杀机,动作,37613,35,29,英国/美国,2013-01-21
145,15.星际迷航：暗黑无界,科幻,35294,41,23,美国,2013-05-28
146,16.侏罗纪公园,科幻,34886,38,26,美国,2013-08-20
147,17.十二生肖,动作,34588,39,27,中国/中国香港,2012-12-20
148,18.警察故事2013,动作,34537,40,32,中国/中国香港,2013-12-24
149,19.雷神2：黑暗世界,动作,34240,39,22,美国,2013-11-08
150,20.特种部队2：全面反击,动作,33806,40,25,美国,2013-04-15
151,21.霍比特人1：意外旅程,魔幻,31579,44,27,美国,2013-02-22
152,22.风暴,动作,30828,39,23,中国/中国香港,2013-12-12
153,23.天机·富春山居图,动作,30032,39,24,中国/中国香港,2013-06-09
154,24.小时代2：青木时代,爱情,29590,31,29,中国/中国台湾,2013-08-08
155,25.一代宗师,动作,28784,36,25,中国/中国香港,2013-01-08
156,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
157,1.变形金刚4：绝迹重生,科幻,197751,42,50,美国/中国,2014-06-27
158,2.心花路放,喜剧,116934,34,36,中国,2014-09-30
159,3.西游记之大闹天宫,魔幻,104549,42,40,中国/中国香港,2014-01-31
160,4.星际穿越,科幻,75532,36,34,美国/英国,2014-11-12
161,5.X战警：逆转未来,科幻,72296,37,29,美国,2014-05-23
