,data,fengli,fengxiang,maxtem,mintem,tianqi
187,2017-07-09,1级,西南风,36,24,多云
188,2017-07-10,1级,南风,36,24,多云
189,2017-07-11,1级,南风,36,24,多云
190,2017-07-12,1级,南风,36,24,多云
191,2017-07-13,1级,南风,36,24,多云
192,2017-07-14,1级,东风,36,24,多云
193,2017-07-15,1级,南风,36,24,多云
194,2017-07-16,1级,西南风,36,24,多云
195,2017-07-17,1级,东风,36,24,多云
196,2017-07-18,1级,西南风,36,24,多云
197,2017-07-19,1级,南风,36,24,多云
198,2017-07-20,1级,西南风,36,24,多云
199,2017-07-21,1级,西风,36,24,多云
200,2017-07-22,1级,东北风,36,24,多云
201,2017-07-23,1级,西南风,36,24,多云
202,2017-07-24,1级,北风,36,24,多云
203,2017-07-25,1级,北风,36,24,多云
204,2017-07-26,1级,东风,36,24,多云
205,2017-07-27,1级,东风,36,24,多云
206,2017-07-28,1级,东北风,36,24,多云
207,2017-07-29,1级,东风,36,24,多云
208,2017-07-30,1级,东南风,36,24,多云
209,2017-07-31,1级,东风,36,24,多云
210,2017-08-01,1级,东南风,36,24,多云
211,2017-08-02,1级,东南风,36,24,多云
212,2017-08-03,1级,南风,36,24,多云
213,2017-08-04,1级,东风,36,24,多云
214,2017-08-05,1级,西风,36,24,多云
215,2017-08-06,1级,北风,36,24,多云
216,2017-08-07,1级,北风,36,24,多云
217,2017-08-08,1级,西南风,36,24,多云
218,2017-08-09,1级,西南风,36,24,多云
219,2017-08-10,1级,西南风,36,24,多云
220,2017-08-11,1级,东南风,36,24,多云
221,2017-08-12,1级,南风,36,24,多云
222,2017-08-13,1级,西南风,36,24,多云
223,2017-08-14,1级,西北风,36,24,多云
224,2017-08-15,1级,西北风,36,24,多云
225,2017-08-16,1级,东北风,36,24,多云
226,2017-08-17,1级,东南风,36,24,多云
227,2017-08-18,1级,西北风,36,24,多云
228,2017-08-19,1级,北风,36,24,多云
229,2017-08-20,1级,东风,36,24,多云
230,2017-08-21,1级,东北风,36,24,多云
231,2017-08-22,1级,东风,36,24,多云
232,2017-08-23,1级,南风,36,24,多云
233,2017-08-24,1级,西北风,36,24,多云
234,2017-08-25,1级,东北风,36,24,多云
235,2017-08-26,1级,东风,36,24,多云
236,2017-08-27,1级,南风,36,24,多云
237,2017-08-28,1级,东风,36,24,多云
238,2017-08-29,1级,东风,36,24,多云
239,2017-08-30,1级,东北风,36,24,多云
240,2017-08-31,1级,北风,36,24,多云
241,2017-09-01,1级,东风,36,24,多云
242,2017-09-02,1级,东北风,36,24,多云
243,2017-09-03,1级,东风,36,24,多云
244,2017-09-04,1级,东风,36,24,多云
245,2017-09-05,1级,北风,36,24,多云
246,2017-09-06,1级,东北风,36,24,多云
247,2017-09-07,1级,北风,36,24,多云
248,2017-09-08,1级,东风,36,24,多云
249,2017-09-09,1级,东风,36,24,多云
250,2017-09-10,1级,南风,36,24,多云
251,2017-09-11,1级,北风,36,24,多云
252,2017-09-12,1级,东北风,36,24,多云
253,2017-09-13,1级,东风,36,24,多云
254,2017-09-14,1级,东北风,36,24,多云
255,2017-09-15,1级,东北风,36,24,多云
256,2017-09-16,1级,北风,36,24,多云
257,2017-09-17,1级,西北风,36,24,多云
258,2017-09-18,1级,南风,36,24,多云
259,2017-09-19,1级,北风,36,24,多云
260,2017-09-20,1级,东风,36,24,多云
261,2017-09-21,1级,南风,36,24,多云
262,2017-09-22,1级,西南风,36,24,多云
263,2017-09-23,1级,东南风,36,24,多云
264,2017-09-24,1级,东风,36,24,多云
265,2017-09-25,1级,北风,36,24,多云
266,2017-09-26,1级,西北风,36,24,多云
267,2017-09-27,1级,东北风,36,24,多云
268,2017-09-28,1级,北风,36,24,多云
269,2017-09-29,1级,东风,36,24,多云
270,2017-09-30,1级,东南风,36,24,多云
271,2017-10-01,1级,北风,36,24,多云
272,2017-10-02,1级,东北风,36,24,多云
273,2017-10-03,1级,东北风,36,24,多云
274,2017-10-04,1级,北风,36,24,多云
275,2017-10-05,1级,北风,36,24,多云
276,2017-10-06,1级,北风,36,24,多云
277,2017-10-07,1级,东风,36,24,多云
278,2017-10-08,1级,东风,36,24,多云
279,2017-10-09,1级,东南风,36,24,多云
280,2017-10-10,1级,北风,36,24,多云
281,2017-10-11,1级,北风,36,24,多云
282,2017-10-12,1级,东北风,36,24,多云
283,2017-10-13,1级,东北风,36,24,多云
284,2017-10-14,1级,东北风,36,24,多云
285,2017-10-15,1级,东北风,36,24,多云
286,2017-10-16,1级,东北风,36,24,多云
287,2017-10-17,1级,东北风,36,24,多云
288,2017-10-18,1级,北风,36,24,多云
289,2017-10-19,1级,北风,36,24,多云
290,2017-10-20,1级,北风,36,24,多云
291,2017-10-21,1级,北风,36,24,多云
292,2017-10-22,1级,西北风,36,24,多云
293,2017-10-23,1级,西北风,36,24,多云
294,2017-10-24,1级,北风,36,24,多云
295,2017-10-25,1级,东南风,36,24,多云
296,2017-10-26,1级,东风,36,24,多云
297,2017-10-27,1级,东北风,36,24,多云
298,2017-10-28,1级,北风,36,24,多云
299,2017-10-29,1级,北风,36,24,多云
300,2017-10-30,1级,东北风,36,24,多云
301,2017-10-31,1级,南风,36,24,多云
302,2017-11-01,1级,北风,36,24,多云
303,2017-11-02,1级,西南风,36,24,多云
304,2017-11-03,1级,东北风,36,24,多云
305,2017-11-04,1级,北风,36,24,多云
306,2017-11-05,1级,东南风,36,24,多云
307,2017-11-06,1级,北风,36,24,多云
308,2017-11-07,1级,西南风,36,24,多云
309,2017-11-08,1级,东风,36,24,多云
310,2017-11-09,1级,东南风,36,24,多云
311,2017-11-10,1级,东北风,36,24,多云
312,2017-11-11,1级,东风,36,24,多云
313,2017-11-12,1级,东南风,36,24,多云
314,2017-11-13,1级,西南风,36,24,多云
315,2017-11-14,1级,东风,36,24,多云
316,2017-11-15,1级,东风,36,24,多云
317,2017-11-16,1级,东风,36,24,多云
318,2017-11-17,1级,东北风,36,24,多云
319,2017-11-18,1级,东北风,36,24,多云
320,2017-11-19,1级,南风,36,24,多云
321,2017-11-20,1级,北风,36,24,多云
322,2017-11-21,1级,东南风,36,24,多云
323,2017-11-22,1级,北风,36,24,多云
324,2017-11-23,1级,西风,36,24,多云
325,2017-11-24,1级,东北风,36,24,多云
326,2017-11-25,1级,南风,36,24,多云
327,2017-11-26,1级,东北风,36,24,多云
328,2017-11-27,1级,东风,36,24,多云
329,2017-11-28,1级,北风,36,24,多云
330,2017-11-29,1级,东北风,36,24,多云
331,2017-11-30,1级,东北风,36,24,多云
332,2017-12-01,1级,东风,36,24,多云
333,2017-12-02,1级,南风,36,24,多云
334,2017-12-03,1级,东北风,36,24,多云
335,2017-12-04,1级,北风,36,24,多云
336,2017-12-05,1级,东南风,36,24,多云
337,2017-12-06,1级,西北风,36,24,多云
338,2017-12-07,1级,北风,36,24,多云
339,2017-12-08,1级,西北风,36,24,多云
340,2017-12-09,1级,南风,36,24,多云
341,2017-12-10,1级,西北风,36,24,多云
342,2017-12-11,1级,东北风,36,24,多云
343,2017-12-12,1级,东风,36,24,多云
344,2017-12-13,1级,东风,36,24,多云
345,2017-12-14,1级,东风,36,24,多云
346,2017-12-15,1级,北风,36,24,多云
347,2017-12-16,1级,西北风,36,24,多云
348,2017-12-17,1级,东南风,36,24,多云
349,2017-12-18,1级,南风,36,24,多云
350,2017-12-19,1级,北风,36,24,多云
351,2017-12-20,1级,西风,36,24,多云
352,2017-12-21,1级,东南风,36,24,多云
353,2017-12-22,1级,东风,36,24,多云
354,2017-12-23,1级,南风,36,24,多云
355,2017-12-24,1级,西北风,36,24,多云
356,2017-12-25,1级,东风,36,24,多云
357,2017-12-26,1级,东风,36,24,多云
358,2017-12-27,1级,东南风,36,24,多云
359,2017-12-28,1级,东风,36,24,多云
360,2017-12-29,1级,东风,36,24,多云
361,2017-12-30,1级,西北风,36,24,多云
362,2017-12-31,1级,东南风,36,24,多云
